date,store,product,price,promo,units_sold,revenue,is_outlier,store_encoded,product_encoded,day_of_week,month,year,is_weekend
2023-01-01,Store_1,Product_A,37.94,0,196.0,7417.96,False,0,0,6,1,2023,1
2023-01-02,Store_1,Product_A,37.94,1,263.0,9964.37,False,0,0,0,1,2023,0
2023-01-03,Store_1,Product_A,37.94,0,213.0,8083.12,False,0,0,1,1,2023,0
2023-01-04,Store_1,Product_A,37.94,0,214.0,8102.63,False,0,0,2,1,2023,0
2023-01-05,Store_1,Product_A,37.94,0,208.0,7878.38,False,0,0,3,1,2023,0
2023-01-06,Store_1,Product_A,37.94,0,184.0,6965.23,False,0,0,4,1,2023,0
2023-01-07,Store_1,Product_A,37.94,1,226.0,8591.46,False,0,0,5,1,2023,1
2023-01-08,Store_1,Product_A,37.94,0,204.0,7737.37,False,0,0,6,1,2023,1
2023-01-09,Store_1,Product_A,37.94,0,207.0,7841.64,False,0,0,0,1,2023,0
2023-01-10,Store_1,Product_A,37.94,0,224.0,8490.88,False,0,0,1,1,2023,0
2023-01-11,Store_1,Product_A,37.94,0,226.0,8565.4,False,0,0,2,1,2023,0
2023-01-12,Store_1,Product_A,37.94,0,223.0,8475.15,False,0,0,3,1,2023,0
2023-01-13,Store_1,Product_A,37.94,0,210.0,7964.84,False,0,0,4,1,2023,0
2023-01-14,Store_1,Product_A,37.94,0,192.0,7275.03,False,0,0,5,1,2023,1
2023-01-15,Store_1,Product_A,37.94,0,204.0,7741.14,False,0,0,6,1,2023,1
2023-01-16,Store_1,Product_A,37.94,0,219.0,8294.98,False,0,0,0,1,2023,0
2023-01-17,Store_1,Product_A,37.94,0,212.0,8028.76,False,0,0,1,1,2023,0
2023-01-18,Store_1,Product_A,37.94,0,236.0,8946.15,False,0,0,2,1,2023,0
2023-01-19,Store_1,Product_A,37.94,0,211.0,8005.36,False,0,0,3,1,2023,0
2023-01-20,Store_1,Product_A,37.94,0,206.0,7819.3,False,0,0,4,1,2023,0
2023-01-21,Store_1,Product_A,37.94,0,196.0,7429.11,False,0,0,5,1,2023,1
2023-01-22,Store_1,Product_A,37.94,1,241.0,9140.28,False,0,0,6,1,2023,1
2023-01-23,Store_1,Product_A,37.94,0,210.0,7973.82,False,0,0,0,1,2023,0
2023-01-24,Store_1,Product_A,37.94,0,215.0,8142.58,False,0,0,1,1,2023,0
2023-01-25,Store_1,Product_A,37.94,0,234.0,8873.73,False,0,0,2,1,2023,0
2023-01-26,Store_1,Product_A,37.94,0,231.0,8780.31,False,0,0,3,1,2023,0
2023-01-27,Store_1,Product_A,37.94,0,207.0,7856.09,False,0,0,4,1,2023,0
2023-01-28,Store_1,Product_A,37.94,0,207.0,7861.28,False,0,0,5,1,2023,1
2023-01-29,Store_1,Product_A,37.94,0,184.0,6975.75,False,0,0,6,1,2023,1
2023-01-30,Store_1,Product_A,37.94,0,220.0,8346.1,False,0,0,0,1,2023,0
2023-01-31,Store_1,Product_A,37.94,0,222.0,8414.44,False,0,0,1,1,2023,0
2023-02-01,Store_1,Product_A,37.94,0,244.0,9251.06,False,0,0,2,2,2023,0
2023-02-02,Store_1,Product_A,37.94,0,226.0,8562.31,False,0,0,3,2,2023,0
2023-02-03,Store_1,Product_A,37.94,1,237.0,8996.11,False,0,0,4,2,2023,0
2023-02-04,Store_1,Product_A,37.94,0,207.0,7860.61,False,0,0,5,2,2023,1
2023-02-05,Store_1,Product_A,37.94,0,208.0,7878.87,False,0,0,6,2,2023,1
2023-02-06,Store_1,Product_A,37.94,0,231.0,8766.15,False,0,0,0,2,2023,0
2023-02-07,Store_1,Product_A,37.94,0,243.0,9220.6,False,0,0,1,2,2023,0
2023-02-08,Store_1,Product_A,37.94,0,249.0,9439.13,False,0,0,2,2,2023,0
2023-02-09,Store_1,Product_A,37.94,0,234.0,8891.46,False,0,0,3,2,2023,0
2023-02-10,Store_1,Product_A,37.94,0,220.0,8333.71,False,0,0,4,2,2023,0
2023-02-11,Store_1,Product_A,37.94,0,206.0,7801.32,False,0,0,5,2,2023,1
2023-02-12,Store_1,Product_A,37.94,0,218.0,8289.42,False,0,0,6,2,2023,1
2023-02-13,Store_1,Product_A,37.94,0,226.0,8589.65,False,0,0,0,2,2023,0
