date,store,product,price,promo,units_sold,revenue
2023-01-01,Store_1,Product_A,37.94,0,196.0,7417.96
2023-01-02,Store_1,Product_A,37.94,1,263.0,9964.37
2023-01-03,Store_1,Product_A,37.94,0,213.0,8083.12
2023-01-04,Store_1,Product_A,37.94,0,214.0,8102.63
2023-01-05,Store_1,Product_A,37.94,0,208.0,7878.38
2023-01-06,Store_1,Product_A,37.94,0,184.0,6965.23
2023-01-07,Store_1,Product_A,37.94,1,226.0,8591.46
2023-01-08,Store_1,Product_A,37.94,0,204.0,7737.37
2023-01-09,Store_1,Product_A,37.94,0,207.0,7841.64
2023-01-10,Store_1,Product_A,37.94,0,224.0,8490.88
2023-01-11,Store_1,Product_A,37.94,0,226.0,8565.4
2023-01-12,Store_1,Product_A,37.94,0,223.0,8475.15
2023-01-13,Store_1,Product_A,37.94,0,210.0,7964.84
2023-01-14,Store_1,Product_A,37.94,0,192.0,7275.03
2023-01-15,Store_1,Product_A,37.94,0,204.0,7741.14
2023-01-16,Store_1,Product_A,37.94,0,219.0,8294.98
2023-01-17,Store_1,Product_A,37.94,0,212.0,8028.76
2023-01-18,Store_1,Product_A,37.94,0,236.0,8946.15
2023-01-19,Store_1,Product_A,37.94,0,211.0,8005.36
2023-01-20,Store_1,Product_A,37.94,0,206.0,7819.3
2023-01-21,Store_1,Product_A,37.94,0,196.0,7429.11
2023-01-22,Store_1,Product_A,37.94,1,241.0,9140.28
2023-01-23,Store_1,Product_A,37.94,0,210.0,7973.82
2023-01-24,Store_1,Product_A,37.94,0,215.0,8142.58
2023-01-25,Store_1,Product_A,37.94,0,234.0,8873.73
2023-01-26,Store_1,Product_A,37.94,0,231.0,8780.31
2023-01-27,Store_1,Product_A,37.94,0,207.0,7856.09
2023-01-28,Store_1,Product_A,37.94,0,207.0,7861.28
2023-01-29,Store_1,Product_A,37.94,0,184.0,6975.75
2023-01-30,Store_1,Product_A,37.94,0,220.0,8346.1
2023-01-31,Store_1,Product_A,37.94,0,222.0,8414.44
